CompanyName,Exchange,FiledDate,PricedDate,DealStatus,SharesOffered(M),SharePrice,TotalValue(M)
LumiraDx Ltd,Undecided,2021-01-15,2026-03-31,Filed,0.0,0.0,100.0
5.11 ABR CORP.,Undecided,2021-11-08,2026-03-31,Filed,0.0,0.0,100.0
"Entrada Therapeutics, Inc.",NASDAQ Global,2021-10-08,2021-10-29,Priced,9.07,20.0,181.5
Nu Holdings Ltd.,NYSE,2021-11-01,2021-12-09,Priced,289.15,9.0,2602.35
LB PHARMACEUTICALS INC,NASDAQ Global,2025-08-22,2025-09-11,Priced,19.0,15.0,285.0
"Southern States Bancshares, Inc.",NASDAQ Global Select,2021-07-15,2021-08-12,Priced,2.0,19.0,38.0
"WALL STREET ACQUISITIONS, Corp",Undecided,2021-08-04,2026-03-31,Filed,0.0,0.0,21.0
"SHOULDER INNOVATIONS, INC.",NYSE,2025-07-07,2025-07-31,Priced,5.0,15.0,75.0
"Confluent, Inc.",NASDAQ Global Select,2021-06-01,2021-06-24,Priced,23.0,36.0,828.0
"Azitra, Inc.",NYSE MKT,2023-02-21,2023-06-16,Priced,1.5,5.0,7.5
"Frontier Group Holdings, Inc.",NASDAQ Global Select,2021-03-08,2021-04-01,Priced,30.0,19.0,570.0
VINE ENERGY INC.,NYSE,2021-02-22,2021-03-18,Priced,21.5,14.0,301.0
"Bluejay Diagnostics, Inc.",NASDAQ Capital,2021-10-04,2021-11-10,Priced,2.16,10.0,21.6
"Reborn Coffee, Inc.",NASDAQ Capital,2021-12-29,2022-08-12,Priced,1.44,5.0,7.2
"EV TRANSPORTATION SERVICES, INC.",Undecided,2022-09-16,2026-03-31,Filed,0.0,0.0,20.0
GLOBALFOUNDRIES Inc.,NASDAQ Global Select,2021-10-04,2021-10-28,Priced,55.0,47.0,2585.0
"tru Shrimp Companies, Inc.",Undecided,2022-01-18,2026-03-31,Filed,0.0,0.0,18.98
"Akoya Biosciences, Inc.",NASDAQ Global Select,2021-03-26,2021-04-16,Priced,6.58,20.0,131.6
"Braze, Inc.",NASDAQ Global Select,2021-10-22,2021-11-17,Priced,8.0,65.0,520.0
"bioAffinity Technologies, Inc.",NASDAQ Capital,2022-04-25,2022-09-01,Priced,1.28,6.12,7.86
"Reddit, Inc.",NYSE,2024-02-22,2024-03-21,Priced,22.0,34.0,748.0
"CLOUDASTRUCTURE, INC.",NASDAQ Capital,2024-09-11,2025-01-30,Priced,1.7,0.0,3.32
BioLife4D Corp,Undecided,2022-06-03,2026-03-31,Filed,0.0,0.0,13.22
"Tempus AI, Inc.",NASDAQ Global Select,2024-05-20,2024-06-14,Priced,11.1,37.0,410.7
"Prometheus Biosciences, Inc.",NASDAQ Global Select,2021-02-19,2021-03-12,Priced,10.0,19.0,190.0
INTERNET SCIENCES INC.,Undecided,2021-08-31,2026-03-31,Filed,0.0,0.0,10.0
"HashiCorp, Inc.",NASDAQ Global Select,2021-11-04,2021-12-09,Priced,15.3,80.0,1224.0
HOOPS SCOUTING USA,Undecided,2021-11-03,2026-03-31,Filed,0.0,0.0,0.04
Longeveron Inc.,NASDAQ Capital,2021-01-19,2021-02-12,Priced,2.66,10.0,26.6
CAMPOSOL HOLDING PLC,Undecided,2021-04-19,2026-03-31,Filed,0.0,0.0,450.0
Rain Oncology Inc.,NASDAQ Global Select,2021-04-02,2021-04-23,Priced,7.35,17.0,125.0
"OnKure Therapeutics, Inc.",NASDAQ Global,2021-03-19,2021-04-09,Priced,6.25,15.0,93.75
"Finch Therapeutics Group, Inc.",NASDAQ Global Select,2021-02-26,2021-03-19,Priced,7.5,17.0,127.5
"Nxu, Inc.",NASDAQ Global,2021-11-12,2022-09-27,Priced,1.85,27.5,50.94
"UiPath, Inc.",NYSE,2021-03-26,2021-04-21,Priced,23.89,56.0,1337.88
Movano Inc.,NASDAQ Capital,2021-02-02,2021-03-23,Priced,8.5,5.0,42.5
"Acurx Pharmaceuticals, Inc.",NASDAQ Capital,2021-05-27,2021-06-25,Priced,2.5,6.0,15.0
"Astera Labs, Inc.",NASDAQ Global Select,2024-02-21,2024-03-20,Priced,19.8,36.0,712.8
"Redaptive, Inc.",Undecided,2021-11-17,2026-03-31,Filed,0.0,0.0,100.0
"Protagenic Therapeutics, Inc.\new",Undecided,2021-02-11,2026-03-31,Filed,0.0,0.0,12.71
Sharps Technology Inc.,NASDAQ Capital,2022-03-18,2022-04-14,Priced,3.75,4.25,15.94
Rallybio Corp,NASDAQ Global Select,2021-07-02,2021-07-29,Priced,6.2,13.0,80.6
Lendbuzz Inc.,Undecided,2025-09-12,2026-03-31,Filed,0.0,0.0,100.0
CW Petroleum Corp,Undecided,2022-06-02,2026-03-31,Filed,0.0,0.0,17.25
"Theseus Pharmaceuticals, Inc.",NASDAQ Global Select,2021-09-15,2021-10-07,Priced,10.0,16.0,160.0
"AGILITI, INC. \DE",NYSE,2021-03-05,2021-04-23,Priced,26.32,,368.42
Applovin Corp,NASDAQ Global Select,2021-03-02,2021-04-15,Priced,25.0,80.0,2000.0
iCIMS Holding LLC,Undecided,2021-08-19,2026-03-31,Filed,0.0,0.0,100.0
Camp4 Therapeutics Corp,NASDAQ Global,2024-09-20,2024-10-11,Priced,6.82,11.0,75.02
"Orange County Bancorp, Inc. /DE/",NASDAQ Capital,2021-07-09,2021-08-05,Priced,1.0,33.5,33.5
Elite Performance Holding Corp,Undecided,2024-10-21,2026-03-31,Filed,0.0,0.0,7.48
"LINKBANCORP, Inc.",NASDAQ Capital,2022-09-07,2022-09-14,Priced,4.58,7.5,34.31
"Castle Creek Biosciences, Inc.",Undecided,2021-07-16,2026-03-31,Filed,0.0,0.0,100.0
EvoAir Holdings Inc.,Undecided,2023-11-28,2026-03-31,Filed,0.0,0.0,21.56
"Sun Country Airlines Holdings, Inc.",NASDAQ Global Select,2021-02-08,2021-03-17,Priced,9.09,24.0,218.18
iShares Gold Trust Micro,NYSE Arca,2021-02-26,2021-06-29,Priced,120.0,0.0,1.0
"Ardent Health, Inc.",NYSE,2024-06-21,2024-07-18,Priced,12.0,16.0,192.0
Karat Packaging Inc.,NASDAQ Global Select,2021-02-18,2021-04-15,Priced,3.95,16.0,63.2
Bitwise Bitcoin ETF,NYSE Arca,2021-10-14,2024-01-11,Priced,0.0,0.0,0.02
"Erasca, Inc.",NASDAQ Global Select,2021-06-25,2021-07-16,Priced,18.75,16.0,300.0
Turnstone Biologics Corp.,NASDAQ Global,2023-06-12,2023-07-21,Priced,6.67,12.0,80.0
BioNexus Gene Lab Corp,Undecided,2023-02-14,2026-03-31,Filed,0.0,0.0,17.25
"Shuttle Pharmaceuticals Holdings, Inc.",NASDAQ Capital,2022-06-03,2022-08-31,Priced,1.23,8.12,9.97
"Angel Oak Mortgage REIT, Inc.",NYSE,2021-05-19,2021-06-17,Priced,7.2,19.0,136.8
CoJax Oil & Gas Corp,Undecided,2021-06-24,2026-03-31,Filed,0.0,0.0,2.59
"Kodiak Gas Services, Inc.",NYSE,2023-03-31,2023-06-29,Priced,16.0,16.0,256.0
DiDi Global Inc.,NYSE,2021-06-10,2021-06-30,Priced,316.8,14.0,4435.2
"Privia Health Group, Inc.",NASDAQ Global Select,2021-04-07,2021-04-29,Priced,19.5,23.0,448.5
"Melt Pharmaceuticals, Inc.",Undecided,2022-09-21,2026-03-31,Filed,0.0,0.0,15.0
"Climb Bio, Inc.",NASDAQ Global,2021-07-16,2021-08-10,Priced,6.4,12.5,80.0
"Unicycive Therapeutics, Inc.",NASDAQ Capital,2021-05-21,2021-07-13,Priced,5.0,5.0,25.0
"CoreWeave, Inc.",NASDAQ Global Select,2025-03-03,2025-03-28,Priced,37.5,40.0,1500.0
Monogram Technologies Inc.,NASDAQ Capital,2022-11-29,2023-05-18,Priced,2.37,7.25,17.22
Venu Holding Corp,NYSE MKT,2024-08-06,2024-11-27,Priced,1.2,10.0,12.0
"Augmedix, Inc.",Undecided,2021-09-03,2026-03-31,Filed,0.0,0.0,40.0
Snow Lake Resources Ltd.,NASDAQ Capital,2021-03-26,2021-11-19,Priced,3.2,7.5,24.0
"PurposeBuilt Brands, Inc.",Undecided,2021-01-15,2026-03-31,Filed,0.0,0.0,100.0
"UPEXI, INC.",NASDAQ Capital,2021-04-15,2021-06-24,Priced,2.2,5.0,11.0
"MBX Biosciences, Inc.",NASDAQ Global Select,2024-08-23,2024-09-13,Priced,10.2,16.0,163.2
G Medical Innovations Holdings Ltd.,NASDAQ Capital,2021-03-04,2021-06-25,Priced,3.0,5.0,15.0
Biophytis SA,NASDAQ Capital,2021-01-19,2021-02-10,Priced,1.2,16.75,20.1
"Endeavor Group Holdings, Inc.",NYSE,2021-03-31,2021-04-29,Priced,21.3,24.0,511.2
"Aardvark Therapeutics, Inc.",NASDAQ Global Select,2025-01-23,2025-02-13,Priced,5.89,16.0,94.21
CERBERUS CYBER SENTINEL CORP,Undecided,2021-12-14,2026-03-31,Filed,0.0,0.0,11.5
Gauzy Ltd.,NASDAQ Global,2024-04-15,2024-06-06,Priced,4.41,17.0,75.0
"Remitly Global, Inc.",NASDAQ Global Select,2021-08-30,2021-09-23,Priced,12.16,43.0,523.0
"Pyxis Oncology, Inc.",NASDAQ Global Select,2021-09-17,2021-10-08,Priced,10.5,16.0,168.0
"Onconetix, Inc.",NASDAQ Capital,2021-10-08,2022-02-18,Priced,2.22,9.0,20.0
"Strawberry Fields REIT, Inc.",Undecided,2022-03-28,2026-03-31,Filed,0.0,0.0,0.59
