dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1006008-95511,,,,,,,,,,LumiraDx Ltd,1/15/2021,"$100,000,000"
1007622-101060,,,,,,,,,,5.11 ABR CORP.,11/08/2021,"$100,000,000"
1008124-100682,TRDA,"Entrada Therapeutics, Inc.",NASDAQ Global,20.00,"9,075,000",10/29/2021,"$181,500,000",Priced,TRDA,"Entrada Therapeutics, Inc.",10/08/2021,"$181,500,000"
1010055-100948,NU,Nu Holdings Ltd.,NYSE,9.00,"289,150,555",12/09/2021,"$2,602,354,995",Priced,NU,Nu Holdings Ltd.,11/01/2021,"$2,602,354,995"
1010448-115077,LBRX,LB PHARMACEUTICALS INC,NASDAQ Global,15.00,"19,000,000",9/11/2025,"$285,000,000",Priced,LBRX,LB PHARMACEUTICALS INC,8/22/2025,"$285,000,000"
1011405-98469,SSBK,"Southern States Bancshares, Inc.",NASDAQ Global Select,19.00,"2,000,000",8/12/2021,"$38,000,000",Priced,SSBK,"Southern States Bancshares, Inc.",7/15/2021,"$38,000,000"
1016404-98749,,,,,,,,,,"WALL STREET ACQUISITIONS, Corp",8/04/2021,"$21,000,000"
1016808-114517,SI,"SHOULDER INNOVATIONS, INC.",NYSE,15.00,"5,000,000",7/31/2025,"$75,000,000",Priced,SI,"SHOULDER INNOVATIONS, INC.",7/07/2025,"$75,000,000"
1017341-97825,CFLT,"Confluent, Inc.",NASDAQ Global Select,36.00,"23,000,000",6/24/2021,"$828,000,000",Priced,CFLT,"Confluent, Inc.",6/01/2021,"$828,000,000"
1018537-105680,AZTR,"Azitra, Inc.",NYSE MKT,5.00,"1,500,000",6/16/2023,"$7,500,000",Priced,AZTR,"Azitra, Inc.",2/21/2023,"$7,500,000"
