dealID,proposedTickerSymbol,companyName,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered,dealStatus
1111048-91821,NLSP,NLS Pharmaceutics Ltd.,NASDAQ Capital,4.15,"4,819,277",1/29/2021,"$20,000,000",Priced
1125317-93473,BCACU,"Apexigen, Inc.",NASDAQ Capital,10.00,"5,000,000",1/29/2021,"$50,000,000",Priced
1140946-95385,CFFVU,CF Acquisition Corp. V,NASDAQ Capital,10.00,"25,000,000",1/29/2021,"$250,000,000",Priced
1140915-95381,HMPT,Home Point Capital Inc.,NASDAQ Global Select,13.00,"7,250,000",1/29/2021,"$94,250,000",Priced
1141357-95437,BLUAU,BlueRiver Acquisition Corp.,NYSE,10.00,"25,000,000",1/29/2021,"$250,000,000",Priced
1141360-95438,MIT'U,"Mason Industrial Technology, Inc.",NYSE,10.00,"45,000,000",1/29/2021,"$450,000,000",Priced
1141453-95446,ZWRKU,Z-Work Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",1/29/2021,"$200,000,000",Priced
1141571-95452,EQHAU,EQ Health Acquisition Corp.,NYSE,10.00,"19,130,400",1/29/2021,"$191,304,000",Priced
1141573-95456,CLRMU,Clarim Acquisition Corp.,NASDAQ Capital,10.00,"25,000,000",1/29/2021,"$250,000,000",Priced
834770-93694,GCACU,"Cepton, Inc.",NASDAQ Capital,10.00,"15,000,000",1/29/2021,"$150,000,000",Priced
1140931-95382,ITHXU,"Mondee Holdings, Inc.",NASDAQ Capital,10.00,"21,000,000",1/28/2021,"$210,000,000",Priced
1141131-95417,IGNYU,"Peak Bio, Inc.",NASDAQ Capital,10.00,"5,000,000",1/28/2021,"$50,000,000",Priced
1141253-95427,TLGAU,"Electriq Power Holdings, Inc.",NYSE,10.00,"35,000,000",1/28/2021,"$350,000,000",Priced
1139777-95298,ZIM,ZIM Integrated Shipping Services Ltd.,NYSE,15.00,"14,500,000",1/28/2021,"$217,500,000",Priced
1140068-95329,VINP,Vinci Compass Investments Ltd.,NASDAQ Global Select,18.00,"13,873,474",1/28/2021,"$249,722,532",Priced
1140129-95333,OCDX,Ortho Clinical Diagnostics Holdings plc,NASDAQ Global Select,17.00,"76,000,000",1/28/2021,"$1,292,000,000",Priced
1067365-95269,XM,Qualtrics International Inc.,NASDAQ Global Select,30.00,"51,695,568",1/28/2021,"$1,550,867,040",Priced
1107381-95227,AGFY,"RYTHM, Inc.",NASDAQ Capital,10.00,"5,400,000",1/28/2021,"$54,000,000",Priced
1104738-91358,TIRX,TIAN RUIXIANG HOLDINGS LTD,NASDAQ Global,4.00,"3,000,000",1/27/2021,"$12,000,000",Priced
1139791-95304,SHLS,"Shoals Technologies Group, Inc.",NASDAQ Global,25.00,"77,000,000",1/27/2021,"$1,925,000,000",Priced
1140945-95384,CAHCU,CA Healthcare Acquisition Corp.,NASDAQ Capital,10.00,"10,000,000",1/27/2021,"$100,000,000",Priced
1140956-95388,CSTAU,Constellation Acquisition Corp I,NYSE,10.00,"30,000,000",1/27/2021,"$300,000,000",Priced
1140972-95393,CLIMU,Climate Real Impact Solutions II Acquisition Corp,NYSE,10.00,"21,000,000",1/27/2021,"$210,000,000",Priced
1140532-95359,FSSIU,Fortistar Sustainable Solutions Corp.,NASDAQ Capital,10.00,"22,500,000",1/27/2021,"$225,000,000",Priced
1141019-95410,HCAQ,"Hyperfine, Inc.",NASDAQ Capital,10.00,"18,000,000",1/27/2021,"$180,000,000",Priced
1140885-95378,DHHCU,"United Homes Group, Inc.",NASDAQ Capital,10.00,"30,000,000",1/26/2021,"$300,000,000",Priced
1140888-95379,LMAOU,SeaStar Medical Holding Corp,NASDAQ Capital,10.00,"9,000,000",1/26/2021,"$90,000,000",Priced
1139805-95307,BIOTU,Biotech Acquisition Co,NASDAQ Capital,10.00,"20,000,000",1/26/2021,"$200,000,000",Priced
1139906-95312,HCIIU,Hudson Executive Investment Corp. II,NASDAQ Capital,10.00,"22,500,000",1/26/2021,"$225,000,000",Priced
1139957-95324,BTNB,Bridgetown 2 Holdings Ltd,NASDAQ Capital,10.00,"26,000,000",1/26/2021,"$260,000,000",Priced
1140528-95357,NSTBU,Northern Star Investment Corp. II,NYSE,10.00,"35,000,000",1/26/2021,"$350,000,000",Priced
1140977-95397,SSAAU,Science Strategic Acquisition Corp. Alpha,NASDAQ Capital,10.00,"27,000,000",1/26/2021,"$270,000,000",Priced
1140993-95406,DNZ'U,D & Z Media Acquisition Corp.,NYSE,10.00,"25,000,000",1/26/2021,"$250,000,000",Priced
1132573-94520,EZGO,EZGO Technologies Ltd.,NASDAQ Capital,4.00,"2,800,000",1/26/2021,"$11,200,000",Priced
1129557-94200,SHACU,SCP & CO Healthcare Acquisition Co,NASDAQ Capital,10.00,"20,000,000",1/22/2021,"$200,000,000",Priced
1128449-94089,HUDI,"Huadi International Group Co., Ltd.",NASDAQ Capital,8.00,"3,125,000",1/22/2021,"$25,000,000",Priced
1128501-94108,JCICU,Jack Creek Investment Corp.,NASDAQ Capital,10.00,"30,000,000",1/22/2021,"$300,000,000",Priced
1135012-94802,LMACU,Liberty Media Acquisition Corp,NASDAQ Capital,10.00,"50,000,000",1/22/2021,"$500,000,000",Priced
1137615-95074,MNTK,"Montauk Renewables, Inc.",NASDAQ Capital,8.50,"3,047,015",1/22/2021,"$25,899,628",Priced
1139914-95313,RLX,RLX Technology Inc.,NYSE,12.00,"116,500,000",1/22/2021,"$1,398,000,000",Priced
1140543-95361,OEPWU,One Equity Partners Open Water I Corp.,NASDAQ Capital,10.00,"30,000,000",1/22/2021,"$300,000,000",Priced
1139779-95299,PAX,Patria Investments Ltd,NASDAQ Global Select,17.00,"30,098,824",1/22/2021,"$511,680,008",Priced
1140166-95337,NAACU,North Atlantic Acquisition Corp,NASDAQ Capital,10.00,"33,000,000",1/22/2021,"$330,000,000",Priced
1140167-95338,EUSGU,European Sustainable Growth Acquisition Corp.,NASDAQ Capital,10.00,"12,500,000",1/22/2021,"$125,000,000",Priced
1140512-95354,PV'U,Primavera Capital Acquisition Corp.,NYSE,10.00,"36,000,000",1/22/2021,"$360,000,000",Priced
1139429-95282,VOSOU,Virtuoso Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",1/22/2021,"$200,000,000",Priced
1139293-95267,MYTE,LuxExperience B.V.,NYSE,26.00,"15,647,059",1/21/2021,"$406,823,534",Priced
1138943-95224,DFH,"Dream Finders Homes, Inc.",NASDAQ Global Select,13.00,"9,600,000",1/21/2021,"$124,800,000",Priced
1137084-95029,FOXWU,FoxWayne Enterprises Acquisition Corp.,NASDAQ Capital,10.00,"5,000,000",1/20/2021,"$50,000,000",Priced
1128837-94135,LEGOU,Legato Merger Corp.,NASDAQ Capital,10.00,"20,500,000",1/20/2021,"$205,000,000",Priced
1139159-95257,GMIIU,Sonder Holdings Inc.,NASDAQ Capital,10.00,"40,000,000",1/20/2021,"$400,000,000",Priced
1139543-95285,GMBTU,Queen's Gambit Growth Capital,NASDAQ Capital,10.00,"30,000,000",1/20/2021,"$300,000,000",Priced
1139379-95277,TZPSU,TZP Strategies Acquisition Corp.,NASDAQ Capital,10.00,"25,000,000",1/20/2021,"$250,000,000",Priced
1139800-95306,OSTRU,Oyster Enterprises Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",1/20/2021,"$200,000,000",Priced
1139781-95301,CLASU,Class Acceleration Corp.,NYSE,10.00,"22,500,000",1/15/2021,"$225,000,000",Priced
1139380-95278,EACPU,Edify Acquisition Corp.,NASDAQ Capital,10.00,"24,000,000",1/15/2021,"$240,000,000",Priced
1139167-95260,ADERU,26 Capital Acquisition Corp.,NASDAQ Capital,10.00,"24,000,000",1/15/2021,"$240,000,000",Priced
1139378-95276,TBA,Thoma Bravo Advantage,NYSE,10.00,"90,000,000",1/15/2021,"$900,000,000",Priced
1138961-95226,DRVN,Driven Brands Holdings Inc.,NASDAQ Global Select,22.00,"31,818,182",1/15/2021,"$700,000,004",Priced
1138994-95228,OCAXU,OCA Acquisition Corp.,NASDAQ Capital,10.00,"13,000,000",1/15/2021,"$130,000,000",Priced
1138733-95198,GNACU,Group Nine Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",1/15/2021,"$200,000,000",Priced
1138827-95210,AEACU,Authentic Equity Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",1/15/2021,"$200,000,000",Priced
1138938-95221,HCICU,HENNESSY CAPITAL INVESTMENT CORP. V,NASDAQ Capital,10.00,"30,000,000",1/15/2021,"$300,000,000",Priced
1138483-95148,PLTK,Playtika Holding Corp.,NASDAQ Global Select,27.00,"69,500,000",1/15/2021,"$1,876,500,000",Priced
1138540-95174,ROT'U,Palladyne AI Corp.,NYSE,10.00,"24,000,000",1/15/2021,"$240,000,000",Priced
1138580-95179,HCCCU,Healthcare Capital Corp/DE,NASDAQ Capital,10.00,"24,000,000",1/15/2021,"$240,000,000",Priced
1138876-95212,ENVIU,"GreenLight Biosciences Holdings, PBC",NASDAQ Capital,10.00,"18,000,000",1/14/2021,"$180,000,000",Priced
1139033-95233,MONCU,Monument Circle Acquisition Corp.,NASDAQ Capital,10.00,"21,800,000",1/14/2021,"$218,000,000",Priced
1139148-95251,SLCRU,Silver Crest Acquisition Corp,NASDAQ Capital,10.00,"30,000,000",1/14/2021,"$300,000,000",Priced
1136516-94965,WOOF,"Petco Health & Wellness Company, Inc.",NASDAQ Global Select,18.00,"48,000,000",1/14/2021,"$864,000,000",Priced
1138308-95130,POSH,"Poshmark, Inc.",NASDAQ Global Select,42.00,"6,600,000",1/14/2021,"$277,200,000",Priced
1138281-95127,HLAHU,"Hamilton Lane Alliance Holdings I, Inc.",NASDAQ Capital,10.00,"24,000,000",1/13/2021,"$240,000,000",Priced
1135594-94871,FINMU,MARLIN TECHNOLOGY CORP.,NASDAQ Capital,10.00,"36,000,000",1/13/2021,"$360,000,000",Priced
1024041-94767,UGRO,"urban-gro, Inc.",NASDAQ Capital,6.60,"3,030,303",1/13/2021,"$20,000,000",Priced
1134941-94798,AFRM,"Affirm Holdings, Inc.",NASDAQ Global Select,49.00,"24,600,000",1/13/2021,"$1,205,400,000",Priced
1139139-95245,DLCAU,Deep Lake Capital Acquisition Corp.,NASDAQ Capital,10.00,"18,000,000",1/13/2021,"$180,000,000",Priced
1139141-95247,FCAXU,Fortress Capital Acquisition Corp,NYSE,10.00,"35,000,000",1/13/2021,"$350,000,000",Priced
1139102-95237,NGABU,"Embark Technology, Inc.",NYSE,10.00,"36,000,000",1/13/2021,"$360,000,000",Priced
1138513-95162,MSGM,Motorsport Games Inc.,NASDAQ Capital,20.00,"3,000,000",1/13/2021,"$60,000,000",Priced
1139221-95265,PNTMU,Pontem Corp,NYSE,10.00,"60,000,000",1/13/2021,"$600,000,000",Priced
1139112-95239,ADEXU,GRIID Infrastructure Inc.,NYSE,10.00,"24,000,000",1/12/2021,"$240,000,000",Priced
1138731-95197,GPACU,Stardust Power Inc.,NASDAQ Capital,10.00,"27,500,000",1/12/2021,"$275,000,000",Priced
1138919-95218,SWETU,Athlon Acquisition Corp.,NASDAQ Capital,10.00,"24,000,000",1/12/2021,"$240,000,000",Priced
1132368-95246,ENFAU,"BuzzFeed, Inc.",NASDAQ Capital,10.00,"25,000,000",1/12/2021,"$250,000,000",Priced
1100128-90972,QLI,BGM Group Ltd.,NASDAQ Global,5.00,"5,000,000",1/12/2021,"$25,000,000",Priced
1136888-95011,BCYPU,"SAB Biotherapeutics, Inc.",NASDAQ Capital,10.00,"10,000,000",1/12/2021,"$100,000,000",Priced
1138377-95140,KUKE,Kuke Music Holding Ltd,NYSE,10.00,"5,000,000",1/12/2021,"$50,000,000",Priced
1138325-95135,LJAQU,LIGHTJUMP ACQUISITION CORP,NASDAQ Capital,10.00,"12,000,000",1/08/2021,"$120,000,000",Priced
1137922-95100,EPHYU,Epiphany Technology Acquisition Corp.,NASDAQ Capital,10.00,"35,000,000",1/08/2021,"$350,000,000",Priced
1138186-95122,KLAQU,KL Acquisition Corp,NASDAQ Capital,10.00,"25,000,000",1/08/2021,"$250,000,000",Priced
1132431-94507,LHC'U,Leo Holdings Corp. II,NYSE,10.00,"35,000,000",1/08/2021,"$350,000,000",Priced
1130093-94272,TMKRU,Priveterra Acquisition Corp. II,NASDAQ Capital,10.00,"24,000,000",1/08/2021,"$240,000,000",Priced
1138940-95222,POWRU,Powered Brands,NASDAQ Capital,10.00,"24,000,000",1/08/2021,"$240,000,000",Priced
1138942-95223,EPWRU,Empowerment & Inclusion Capital I Corp.,NYSE,10.00,"24,000,000",1/08/2021,"$240,000,000",Priced
1138795-95204,PAQCU,Provident Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",1/08/2021,"$200,000,000",Priced
